PROVÍNCIA;COMARCA;MUNICIPI;SIGLES;PARTIT;VOTS;PERCENT
;;;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;1015355;24,59
;;;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);958343;23,21
;;;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;614738;14,89
;;;JxCAT;JUNTS PER CATALUNYA-JUNTS;497638;12,05
;;;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;477096;11,55
;;;PP;PARTIDO POPULAR;200209;4,85
;;;VOX;VOX;148481;3,60
;;;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;113008;2,74
;;;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;63713;1,54
;;;RCERO;RECORTES CERO-GRUPO VERDE;6632;0,16
;;;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;3373;0,08
;;;IZQP;IZQUIERDA EN POSITIVO;2673;0,06
;;;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;2419;0,06
;;;CNV;CONVERGENTS;2406;0,06
;;;PUMJ;PER UN MÓN MÉS JUST;413;0,01
;;;PxC;PLATAFORMA PER CATALUNYA;-;-
Barcelona;;;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);766419;24,66
Barcelona;;;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;713049;22,95
Barcelona;;;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;508428;16,36
Barcelona;;;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;372094;11,97
Barcelona;;;JxCAT;JUNTS PER CATALUNYA-JUNTS;314685;10,13
Barcelona;;;PP;PARTIDO POPULAR/PARTIT POPULAR;155504;5,00
Barcelona;;;VOX;VOX;111810;3,60
Barcelona;;;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;84408;2,72
Barcelona;;;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;50393;1,62
Barcelona;;;RCERO;RECORTES CERO-GRUPO VERDE;5552;0,18
Barcelona;;;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;2531;0,08
Barcelona;;;IZQP;IZQUIERDA EN POSITIVO;2108;0,07
Barcelona;;;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;1950;0,06
Barcelona;;;CNV;CONVERGENTS;1589;0,05
Barcelona;Alt Penedès;;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;20205;32,82
Barcelona;Alt Penedès;;PSOE;PARTIDO SOCIALISTA OBRERO ESPAÑOL;11717;19,03
Barcelona;Alt Penedès;;JxCAT;JUNTS PER CATALUNYA-JUNTS;10102;16,41
Barcelona;Alt Penedès;;PODEMOS;UNIDAS PODEMOS;7791;12,66
Barcelona;Alt Penedès;;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;4687;7,61
Barcelona;Alt Penedès;;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;2197;3,57
Barcelona;Alt Penedès;;PP;PARTIDO POPULAR;1966;3,19
Barcelona;Alt Penedès;;VOX;VOX;1522;2,47
Barcelona;Alt Penedès;;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;874;1,42
Barcelona;Alt Penedès;;RCERO;RECORTES CERO-GRUPO VERDE;60;0,10
Barcelona;Alt Penedès;;PCTE;PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA;59;0,10
Barcelona;Alt Penedès;;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;54;0,09
Barcelona;Alt Penedès;;CNV;CONVERGENTS;30;0,05
Barcelona;Alt Penedès;;IZQP;IZQUIERDA EN POSITIVO;25;0,04
Barcelona;Alt Penedès;;PCPE;PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA;-;-
Barcelona;Alt Penedès;Avinyonet del Penedès;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;326;31,62
Barcelona;Alt Penedès;Avinyonet del Penedès;JxCAT;JUNTS PER CATALUNYA-JUNTS;279;27,06
